timestamp,flow(L/s),voltage(V),power(W)
2025-11-22 21:12:27,0.021,0.984,0.000
2025-11-22 21:12:28,0.000,0.976,0.000
2025-11-22 21:12:28,0.000,0.968,0.000
2025-11-22 21:12:28,0.000,0.968,0.000
2025-11-22 21:12:28,0.000,0.976,0.000
2025-11-22 21:12:29,0.000,0.976,0.000
2025-11-22 21:12:29,0.000,0.964,0.000
2025-11-22 21:12:29,0.000,0.976,0.000
2025-11-22 21:12:29,0.000,0.964,0.000
2025-11-22 21:12:29,0.000,0.968,0.000
2025-11-22 21:12:29,0.000,0.972,0.000
2025-11-22 21:12:30,0.000,0.968,0.000
2025-11-22 21:12:30,0.000,0.972,0.000
2025-11-22 21:12:30,0.000,0.964,0.000
2025-11-22 21:12:30,0.000,0.972,0.000
2025-11-22 21:12:31,0.000,0.972,0.000
2025-11-22 21:12:31,0.000,0.968,0.000
2025-11-22 21:12:31,0.000,0.964,0.000
2025-11-22 21:12:31,0.000,0.964,0.000
2025-11-22 21:12:31,0.000,0.960,0.000
2025-11-22 21:12:32,0.000,0.960,0.000
2025-11-22 21:12:32,0.000,0.964,0.000
2025-11-22 21:12:32,0.000,0.960,0.000
2025-11-22 21:12:32,0.000,0.956,0.000
2025-11-22 21:12:32,0.000,0.964,0.000
2025-11-22 21:12:33,0.000,0.960,0.000
2025-11-22 21:12:33,0.000,0.960,0.000
2025-11-22 21:12:33,0.000,0.960,0.000
2025-11-22 21:12:33,0.000,0.956,0.000
2025-11-22 21:12:33,0.000,0.960,0.000
